region,province,daire,type,parti,candidat,voix,sieges
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب الاستقلال","رشيد الساجد","12877","1"
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب العدالة والتنمية","سليمان العمراني","5398",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب التقدم والاشتراكية","كمال كريم الدين","4874",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب الحركة الشعبية","مصطفى  لخصم","4552",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب الحركة الديمقراطية الاجتماعية","ياسين بهيج","2399",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","تحالف فيدرالية اليسار ","محمد الصغير","2006",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب الإنصاف","سعيد رضوان","1778",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب الاتحاد الاشتراكي للقوات الشعبية","محمود بوتخيل","1744",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب البيئة والتنمية المستدامة","رضا رياض","1279",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","الحزب الاشتراكي الموحد","العلمي الحروني","1049",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب جبهة القوى الديمقراطية","رشيد بنوار","1030",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب الديمقراطيين الجدد","عبدالله ملوك","973",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب الوحدة والديمقراطية","عبد الكريم  الكفاشي ","955",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب الأمل","مولاي الحسن لعز","790",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب الإصلاح والتنمية","رشيد المباركي","706",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","الحزب المغربي الحر","رضى اكيدر","562",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب الوسط الاجتماعي","عبد اللطيف زكري","400",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب الخضر المغربي","امال جلموس","67",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب التجمع الوطني للأحرار","عبد السلام البويرماني","18342","1"
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب الحركة الشعبية","محمد لحموش","17516","1"
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب الأصالة والمعاصرة","محمد اشرورو","15811","1"
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب الحركة الديمقراطية الاجتماعية","الحبيب حسيني","8521",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب الاستقلال","عادل ابن حمزة","3371",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب التقدم والاشتراكية","محمد بوجات","3366",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب الديمقراطيين الجدد","رشيد أخريبيش","2011",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب الاتحاد الدستوري","جواد بومعجون","1268",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب الشورى والاستقلال","احمد بلغازي","1094",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب الإصلاح والتنمية","نبيل اعبار","1051",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب العدالة والتنمية","الطيبي الهامي","893",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب الإنصاف","اكرم السملالي","767",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب البيئة والتنمية المستدامة","حنان الحرشاوي","702",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","تحالف فيدرالية اليسار ","سارة بنالجيلالي","585",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","الحزب الاشتراكي الموحد","محمد لحرش","512",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب الاتحاد الاشتراكي للقوات الشعبية","الحاجة هدى الهردوز","485",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب الأمل","الحسن العمري","369",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب الوحدة والديمقراطية","حميد لعين","313",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب الوسط الاجتماعي","عفاف بنزكري","296",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب المجتمع الديمقراطي","معتمد بوبية","249",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب الخضر المغربي","مراد بلغازي","208",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب الحرية والعدالة الاجتماعية","جواد دليل","149",""
"الرباط -سلا -القنيطرة","الخميسات","الخميسات - أولماس","محلية","حزب النهضة","الحسان عشاق","111",""
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب التجمع الوطني للأحرار","حسن الفيلالي","28348","1"
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب الحركة الديمقراطية الاجتماعية","عبد الصمد عرشان","24407","1"
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب الأصالة والمعاصرة","رحو الهيلع","20118","1"
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب الاستقلال","بوعمرو تغوان","8512",""
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب التقدم والاشتراكية","زاير مبارك","4093",""
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب الحركة الشعبية","حسن اسلالو","1576",""
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب الاتحاد الاشتراكي للقوات الشعبية","يونس بلكلوش","1200",""
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","تحالف فيدرالية اليسار ","انس هدان","1168",""
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب العدالة والتنمية","وفاء المحمدي","1084",""
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب البيئة والتنمية المستدامة","المصطفى  خليل ","796",""
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب الشورى والاستقلال","عبد الرحمان  الفخار ","551",""
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب الاتحاد المغربي للديمقراطية","محمد حدادي","475",""
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب العمل","عبد الله قطبان","378",""
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب الوحدة والديمقراطية","نور الدين  اليوسفي","261",""
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب النهضة","محمد خلوقي","217",""
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب الوسط الاجتماعي","خالد لمدردر","216",""
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب الإنصاف","علي الهسهاس","185",""
"الرباط -سلا -القنيطرة","الخميسات","تيفلت - الرماني","محلية","حزب الحرية والعدالة الاجتماعية","توفيق يومني","171",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب التجمع الوطني للأحرار","هشام ايت مانة","24401","1"
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب الاستقلال","سعيد التدلاوي","14498","1"
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب الأصالة والمعاصرة","الطاهر بمزاغ","8605","1"
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب الاتحاد الاشتراكي للقوات الشعبية","عبد الحميد جماهري","5121",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب العدالة والتنمية","نجيب البقالي","2638",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب الاتحاد الدستوري","عبداللطيف محمدي","2469",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب الديمقراطيين الجدد","حسن مروان","1424",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب جبهة القوى الديمقراطية","ادريس العيناوي","1159",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب الحركة الشعبية","بوعزة قدمي","1102",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب التقدم والاشتراكية","يونس سراج","1051",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","تحالف فيدرالية اليسار ","عبدالعاطي اربيعة","788",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب البيئة والتنمية المستدامة","سهيل  ماهر ","725",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","الحزب الاشتراكي الموحد","السعيد  بوريس","633",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب الوحدة والديمقراطية","محمد الراشيدي","346",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب الوسط الاجتماعي","حسن درداك","330",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب الإنصاف","عبدالعالي صديقي","310",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","الحزب المغربي الحر","سعيدة هروسي","156",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب النهضة","أنس بنجدية","139",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب الشورى والاستقلال","سعيدة نعاسي","105",""
"الدار البيضاء-سطات","المحمدية","المحمدية","محلية","حزب الإصلاح والتنمية","جواد السلهامي","86",""
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب التجمع الوطني للأحرار","كريم اشنكلي","50829","1"
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب الأصالة والمعاصرة","حميد وهبي","14136","1"
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب الاستقلال","جمال ديواني","8175","1"
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب التقدم والاشتراكية","حسن اومريبط","7103","1"
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب الاتحاد الاشتراكي للقوات الشعبية","عبد الرزاق مويسات","7091",""
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب العدالة والتنمية","محمد باكيري","5390",""
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","تحالف فيدرالية اليسار ","ادم بوهدما","2230",""
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب الحركة الشعبية","رضوان جيد","954",""
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","الحزب الاشتراكي الموحد","كنزة القاسمي","914",""
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب جبهة القوى الديمقراطية","ادريس ساجد","660",""
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب الخضر المغربي","طارق مجان","255",""
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","الحزب المغربي الحر","مولاي محمد بوغالب","137",""
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب الوحدة والديمقراطية","عبد الله ايت حمو حسي","118",""
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب الحرية والعدالة الاجتماعية","عمر الحدادي","84",""
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب البيئة والتنمية المستدامة","يونس الهرام","81",""
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب الأمل","خالد  شابو ","71",""
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب النهضة","حليمة شعبيطة","54",""
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب الإنصاف","سعيد جداد","41",""
"سوس- ماسة","أكادير- إدا وتنان","أكادير -إدا وتنان","محلية","حزب العمل","حسن ماء العينين","21",""
"سوس- ماسة","اشتوكة ايت باها","اشتوكة-آيت باها","محلية","حزب التجمع الوطني للأحرار","اسماعيل كرام","37077","1"
"سوس- ماسة","اشتوكة ايت باها","اشتوكة-آيت باها","محلية","حزب الاستقلال","الحسين ازوكاغ","25022","1"
"سوس- ماسة","اشتوكة ايت باها","اشتوكة-آيت باها","محلية","حزب الأصالة والمعاصرة","احمد بومكوك","24718","1"
"سوس- ماسة","اشتوكة ايت باها","اشتوكة-آيت باها","محلية","حزب العدالة والتنمية","احمد بتكرين","4380",""
"سوس- ماسة","اشتوكة ايت باها","اشتوكة-آيت باها","محلية","حزب الاتحاد الاشتراكي للقوات الشعبية","احمد الكعبوز","3571",""
"سوس- ماسة","اشتوكة ايت باها","اشتوكة-آيت باها","محلية","حزب التقدم والاشتراكية","عبد العزيز مساعد","2669",""
"سوس- ماسة","اشتوكة ايت باها","اشتوكة-آيت باها","محلية","الحزب الاشتراكي الموحد","عمر الشيخ","2393",""
"سوس- ماسة","اشتوكة ايت باها","اشتوكة-آيت باها","محلية","حزب الحركة الشعبية","يوسف عباد","1153",""
"سوس- ماسة","اشتوكة ايت باها","اشتوكة-آيت باها","محلية","تحالف فيدرالية اليسار ","عيسى شهاب","501",""
"سوس- ماسة","اشتوكة ايت باها","اشتوكة-آيت باها","محلية","حزب الوسط الاجتماعي","الحسين الوالي","468",""
"سوس- ماسة","اشتوكة ايت باها","اشتوكة-آيت باها","محلية","حزب الخضر المغربي","عدنان بلعبد","62",""
"سوس- ماسة","اشتوكة ايت باها","اشتوكة-آيت باها","محلية","حزب الأمل","محمد امين كريشي","46",""
"سوس- ماسة","تارودانت","تارودانت الجنوبية","محلية","حزب التجمع الوطني للأحرار","محمد بوهدود","47450","1"
"سوس- ماسة","تارودانت","تارودانت الجنوبية","محلية","حزب الاستقلال","عبد الصمد قيوح","40762","1"
"سوس- ماسة","تارودانت","تارودانت الجنوبية","محلية","حزب الأصالة والمعاصرة","خليد حاتمي","27517","1"
"سوس- ماسة","تارودانت","تارودانت الجنوبية","محلية","حزب العدالة والتنمية","ابراهيم اجنين","19657","1"
"سوس- ماسة","تارودانت","تارودانت الجنوبية","محلية","حزب الاتحاد الاشتراكي للقوات الشعبية","كريم قدوري","11875",""
"سوس- ماسة","تارودانت","تارودانت الجنوبية","محلية","حزب الحركة الشعبية","حسون جعفر","925",""
"سوس- ماسة","تارودانت","تارودانت الجنوبية","محلية","الحزب المغربي الحر","اسامة شاكير","459",""
"سوس- ماسة","تارودانت","تارودانت الجنوبية","محلية","تحالف فيدرالية اليسار ","احمد بوهيا","349",""
"سوس- ماسة","تارودانت","تارودانت الجنوبية","محلية","الحزب الاشتراكي الموحد","خالد الزغداني","318",""
"سوس- ماسة","تارودانت","تارودانت الجنوبية","محلية","حزب التقدم والاشتراكية","حمزة بيجي","297",""
"سوس- ماسة","تارودانت","تارودانت الجنوبية","محلية","حزب الديمقراطيين الجدد","عبد المجيد نحيد","205",""
"سوس- ماسة","تارودانت","تارودانت الجنوبية","محلية","حزب الوحدة والديمقراطية","محمد نعمان","204",""
"سوس- ماسة","تارودانت","تارودانت الجنوبية","محلية","حزب الوسط الاجتماعي","عبد الكبير الدزيرى","145",""
"سوس- ماسة","تارودانت","تارودانت الجنوبية","محلية","حزب الأمل","مصطفى الهامس","106",""
"سوس- ماسة","تارودانت","تارودانت الشمالية","محلية","حزب التجمع الوطني للأحرار","لحسن  السعدي","56693","1"
"سوس- ماسة","تارودانت","تارودانت الشمالية","محلية","حزب الاستقلال","عبد العزيز البهجة","32751","1"
"سوس- ماسة","تارودانت","تارودانت الشمالية","محلية","حزب الأصالة والمعاصرة","عبد اللطيف وهبي","29624","1"
"سوس- ماسة","تارودانت","تارودانت الشمالية","محلية","حزب العدالة والتنمية","مولاي محمد ايت بلا اسلمان","5725",""
"سوس- ماسة","تارودانت","تارودانت الشمالية","محلية","حزب الاتحاد الدستوري","مسعود فرجي","2175",""
"سوس- ماسة","تارودانت","تارودانت الشمالية","محلية","حزب الاتحاد الاشتراكي للقوات الشعبية","عبد الله اشكري","1165",""
"سوس- ماسة","تارودانت","تارودانت الشمالية","محلية","حزب الحركة الشعبية","الحسن امزيل","330",""
"سوس- ماسة","تارودانت","تارودانت الشمالية","محلية","الحزب الاشتراكي الموحد","عمر وستولي ","132",""
"سوس- ماسة","تيزنيت","تيزنيت","محلية","حزب التجمع الوطني للأحرار","عبد الله غازي","37605","1"
"سوس- ماسة","تيزنيت","تيزنيت","محلية","حزب الاستقلال","حنان عدباوي ","7661","1"
"سوس- ماسة","تيزنيت","تيزنيت","محلية","حزب التقدم والاشتراكية","جمال اباحمان","5456",""
"سوس- ماسة","تيزنيت","تيزنيت","محلية","حزب العدالة والتنمية","محمد امكراز","4548",""
"سوس- ماسة","تيزنيت","تيزنيت","محلية","حزب الاتحاد الاشتراكي للقوات الشعبية","لحسن بنوارى","4516",""
"سوس- ماسة","تيزنيت","تيزنيت","محلية","حزب الأصالة والمعاصرة","ربيعة ادرق","4340",""
"سوس- ماسة","تيزنيت","تيزنيت","محلية","حزب الحركة الشعبية","الحسين بوستة","331",""
"سوس- ماسة","تيزنيت","تيزنيت","محلية","تحالف فيدرالية اليسار ","الحسن اكروم","296",""
"سوس- ماسة","تيزنيت","تيزنيت","محلية","حزب الأمل","محمد زاوي","264",""
"سوس- ماسة","تيزنيت","تيزنيت","محلية","حزب النهضة","احمد اند العرف","211",""
"سوس- ماسة","تيزنيت","تيزنيت","محلية","حزب الخضر المغربي","علي كرمشت","187",""
"سوس- ماسة","تيزنيت","تيزنيت","محلية","الحزب المغربي الحر","غزلان حموش","139",""
"سوس- ماسة","تيزنيت","تيزنيت","محلية","حزب الشورى والاستقلال","محمد افري","21",""
"درعة -تافيلالت","ورزازات","ورزازات","محلية","حزب التجمع الوطني للأحرار","يوسف شيري","30677","1"
"درعة -تافيلالت","ورزازات","ورزازات","محلية","حزب الحركة الشعبية","عمر الباز","21982","1"
"درعة -تافيلالت","ورزازات","ورزازات","محلية","حزب الأصالة والمعاصرة","الحسين بوحسيني","13168","1"
"درعة -تافيلالت","ورزازات","ورزازات","محلية","حزب الاستقلال","محمد والحرور","6832",""
"درعة -تافيلالت","ورزازات","ورزازات","محلية","حزب التقدم والاشتراكية","لحسن احمام","5819",""
"درعة -تافيلالت","ورزازات","ورزازات","محلية","حزب العدالة والتنمية","السعيد الصادق","1967",""
"درعة -تافيلالت","ورزازات","ورزازات","محلية","حزب الاتحاد الاشتراكي للقوات الشعبية","سمير الصبان","1045",""
"درعة -تافيلالت","ورزازات","ورزازات","محلية","الحزب الاشتراكي الموحد","عمر اوبوهو","687",""
"درعة -تافيلالت","ورزازات","ورزازات","محلية","تحالف فيدرالية اليسار ","عبد المجيد الناصري","618",""
"درعة -تافيلالت","ورزازات","ورزازات","محلية","حزب البيئة والتنمية المستدامة","حسام منشو","526",""
"درعة -تافيلالت","ورزازات","ورزازات","محلية","حزب الديمقراطيين الجدد","عبد الله فضايل","459",""
"درعة -تافيلالت","ورزازات","ورزازات","محلية","حزب الوحدة والديمقراطية","احمد  ابياضي ","223",""
"درعة -تافيلالت","ورزازات","ورزازات","محلية","حزب الاتحاد المغربي للديمقراطية","عبد الصمد ايت لحسن","181",""
"درعة -تافيلالت","ورزازات","ورزازات","محلية","حزب النهضة","وليد ادردور","144",""
"درعة -تافيلالت","ورزازات","ورزازات","محلية","حزب الخضر المغربي","الحسن او نجار","77",""
"درعة -تافيلالت","ورزازات","ورزازات","محلية","حزب الوسط الاجتماعي","عمر نايت زينب","47",""
"درعة -تافيلالت","زاكورة","زاكورة","محلية","حزب التجمع الوطني للأحرار","الحسين وعلال","24106","1"
"درعة -تافيلالت","زاكورة","زاكورة","محلية","حزب الاتحاد الاشتراكي للقوات الشعبية","عبد الرحيم شهيد","21435","1"
"درعة -تافيلالت","زاكورة","زاكورة","محلية","حزب الاستقلال","ميمون عميري","20341","1"
"درعة -تافيلالت","زاكورة","زاكورة","محلية","حزب الحركة الشعبية","يوسف امنزو","12793",""
"درعة -تافيلالت","زاكورة","زاكورة","محلية","حزب التقدم والاشتراكية","احماد حسو","5250",""
"درعة -تافيلالت","زاكورة","زاكورة","محلية","حزب العدالة والتنمية","عبد الرحمان الصوفي","4555",""
"درعة -تافيلالت","زاكورة","زاكورة","محلية","حزب الأصالة والمعاصرة","صالح باباعيا","3650",""
"درعة -تافيلالت","زاكورة","زاكورة","محلية","حزب الديمقراطيين الجدد","ابراهيم الطاهري","1035",""
"درعة -تافيلالت","زاكورة","زاكورة","محلية","حزب الإصلاح والتنمية","مولاي سليمان عزيزي","606",""
"درعة -تافيلالت","زاكورة","زاكورة","محلية","الحزب الاشتراكي الموحد","صالح الطاهري","546",""
"درعة -تافيلالت","زاكورة","زاكورة","محلية","حزب الوسط الاجتماعي","سمير جبوري","157",""
"درعة -تافيلالت","زاكورة","زاكورة","محلية","حزب الاتحاد الدستوري","مبارك غنام","151",""
