region,province,daire,type,parti,candidat,voix,sieges
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","حزب التجمع الوطني للأحرار","عبد الرحيم واسلم","15888","1"
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","حزب الأصالة والمعاصرة","محمد المهدي بنسعيد","7076","1"
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","حزب الاستقلال","عبد الاله الادريسي البوزيدي","4545","1"
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","حزب الحركة الشعبية","نبيل الدخش","4299","1"
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","حزب العدالة والتنمية","سعد الدين العثماني","4028",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","تحالف فيدرالية اليسار ","مريم بنخويا","2650",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","حزب الاتحاد الاشتراكي للقوات الشعبية","بدر طنشري الوزاني","2446",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","حزب التقدم والاشتراكية","محمد نبيل بنعبد الله","2210",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","حزب الاتحاد الدستوري","العربي بووردة","1170",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","الحزب الاشتراكي الموحد","سعد الشرفي","1160",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","حزب الاتحاد المغربي للديمقراطية","حميد فخار","627",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","الحزب المغربي الحر","اسحاق شارية","477",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","حزب الوحدة والديمقراطية","نور الدين بورقية","317",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","حزب البيئة والتنمية المستدامة","محمد  لكريش","252",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","حزب الإنصاف","مهدي  بندريوش","251",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","حزب جبهة القوى الديمقراطية","عبد الحق راشد","155",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","حزب الديمقراطيين الجدد","يس افقير","94",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","حزب الخضر المغربي","عبد الحي التدلاوي","70",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - المحيط","محلية","الحزب الديمقراطي الوطني","هاشم الشريف الكتاني","38",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب التجمع الوطني للأحرار","علاء الدين البحراوي","10829","1"
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب الأصالة والمعاصرة","اديب ابن ابراهيم","7641","1"
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب الاتحاد الاشتراكي للقوات الشعبية","الحسن  لشكر ","5934","1"
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب الاستقلال","البشير صاخي","5494",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب الحركة الشعبية","عبد الرحمان بولعود","2708",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب العدالة والتنمية","محمد الطاهري","2611",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","تحالف فيدرالية اليسار ","عمر محمود بنجلون","1067",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب الاتحاد الدستوري","الحبيب الدقاق","793",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","الحزب الاشتراكي الموحد","محمد فتح الله","578",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب التقدم والاشتراكية","عزالدين شرايبي","567",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","الحزب المغربي الحر","محمد الزتيري","547",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب جبهة القوى الديمقراطية","زينب الشامي","426",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب العمل","انس نويصر","366",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب البيئة والتنمية المستدامة","عزيزة العماري","301",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب الوسط الاجتماعي","علي الضو","127",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب الإصلاح والتنمية","مريم المنوار","113",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب الديمقراطيين الجدد","اسماعيل بلبطاح","63",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية"," حزب النهضة والفضيلة","ادريس هدان","52",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب الخضر المغربي","عدنان الطويل","38",""
"الرباط -سلا -القنيطرة","الرباط","الرباط - شالة","محلية","حزب المجتمع الديمقراطي","عبد القادر هاشم","30",""
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب التجمع الوطني للأحرار","رشيد الحمري ","22219","1"
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب الاتحاد الدستوري","حسن عاريف","16824","1"
"الرباط -سلا -القنيطرة","الصخيرات تمارة","الصخيرات - تمارة","محلية","حزب الأصالة والمعاصرة","محمد الهلالي","15545","1"
